Type,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
Needle SAT1 Hapto,SAT1,0.1283643,9.760515,2.748884,0.3577915,2.976043,4.146716,0.01630059,0.01557096,9.524799,2.8625,26.12526
Needle SAT1 Hapto,SAT1,0.1636879,9.260153,2.787328,0.3417732,2.38469,4.231095,0.01572212,0.01591665,9.116653,2.9,27.84424
Needle SAT1 Hapto,SAT1,0.139164,8.171011,2.531533,0.3709595,2.668066,4.069965,0.0158139,0.017571,8.098033,2.945,26.46109
Needle SAT1 Hapto,SAT1,0.149204,10.08066,2.641785,0.3570446,2.607776,3.644638,0.0169641,0.01622097,9.839949,3.0575,26.29906
Needle SAT1 Hapto,SAT1,0.1220504,9.152632,2.695827,0.3986265,2.841699,3.640414,0.0149802,0.01435777,8.959338,3.065,24.35489
Needle SAT1 Hapto,SAT1,0.1397703,9.098889,2.885119,0.3478239,2.925953,4.627233,0.01763496,0.0168024,8.951644,2.6525,26.84113
Needle SAT1 Hapto,SAT1,0.1497323,10.07102,2.693577,0.3381316,2.853786,3.705337,0.01696235,0.01618684,9.848379,3.0475,27.55518
Needle SAT1 Hapto,SAT1,0.1535841,9.44976,2.662528,0.3727273,2.597856,3.76095,0.01597067,0.01578662,9.278906,3.01,25.74076
Needle SAT1 Hapto,SAT1,0.1646791,7.11446,2.580958,0.4204468,2.484611,4.239994,0.01375204,0.01528004,7.05134,2.865,22.77804
Needle SAT1 Hapto,SAT1,0.1554666,9.98547,2.653871,0.3512905,2.702337,3.703505,0.01686047,0.01692097,9.77863,3.03,27.16019
Needle SAT1 Hapto,SAT1,0.1512488,9.222065,2.720011,0.3723302,2.656637,3.895537,0.01500213,0.01489674,9.036269,2.9675,25.50661
Needle SAT1 Hapto,SAT1,0.1475942,8.220256,2.595406,0.3969572,2.609267,3.894264,0.01444892,0.01605436,8.080183,2.9525,23.64276
Needle SAT1 Hapto,SAT1,0.1517094,7.014556,2.62575,0.4077637,2.466608,4.372762,0.01398513,0.01476765,6.966564,2.8375,23.95579
Needle SAT1 Hapto,SAT1,0.1477014,9.052671,2.63833,0.3816669,2.828834,3.754381,0.01526272,0.01451683,8.844282,3.02,24.90492
Needle SAT1 Hapto,SAT1,0.1645699,8.557591,2.625727,0.4119926,2.534201,3.689545,0.01541565,0.01489922,8.39613,3.0525,23.06969
Needle SAT1 Hapto,SAT1,0.1618716,9.562362,2.657071,0.3756788,2.615041,3.595539,0.0169809,0.01543719,9.344597,3.1,25.50559
Needle SAT1 Hapto,SAT1,0.168616,9.449681,2.728641,0.3926982,2.455262,3.673037,0.01607357,0.01538459,9.209235,3.0275,23.84368
Needle SAT1 Hapto,SAT1,0.1678025,9.018448,2.903331,0.3612092,2.56637,4.355631,0.01863165,0.01770529,8.86633,2.7375,26.37956
Needle SAT1 Hapto,SAT1,0.1554157,9.264345,2.8274,0.3523128,2.524924,4.232308,0.01489718,0.01655242,9.092079,2.85,26.95023
Needle SAT1 Hapto,SAT1,0.1282376,9.044055,2.574529,0.3938199,2.8013,3.756751,0.01616387,0.01608776,8.861769,2.98,24.77621
Needle SAT1 Hapto,SAT1,0.1428697,9.028462,2.685775,0.37839,2.754713,4.155038,0.01593362,0.01526283,8.84189,2.845,24.67006
Needle SAT1 Hapto,SAT1,0.1457932,8.878531,2.697708,0.392145,2.76427,3.914877,0.01387504,0.01379563,8.677484,2.9675,23.92215
Needle SAT1 Hapto,SAT1,0.1535346,9.147702,2.661219,0.380032,2.615896,3.669803,0.01546737,0.01529584,8.953424,3.09,25.21496
Needle SAT1 Hapto,SAT1,0.1183561,9.516297,2.8222,0.3524969,3.088071,4.104205,0.01544255,0.01543621,9.316107,2.8425,26.01214
Needle SAT1 Hapto,SAT1,0.1469091,7.628506,2.732331,0.3896853,2.70434,4.763823,0.01474813,0.01532456,7.533409,2.65,24.33906
Needle SAT1 Hapto,SAT1,0.1649102,9.273565,2.75103,0.3611125,2.539434,4.389532,0.01910062,0.01827084,9.08758,2.715,27.04097
Needle SAT1 Hapto,SAT1,0.1413568,9.573893,2.774638,0.3450193,2.638056,3.865595,0.01658677,0.01747479,9.419364,2.9775,27.56059
Needle SAT1 Hapto,SAT1,0.1680728,9.067662,2.860894,0.3897809,2.492652,4.127674,0.01639295,0.01566763,8.861463,2.84,24.32784
