"ID","k","K","delta","b","r","nu","I0","A0","P0","vmax","tmax","cumviral","start"
"SAT1",0.371171,8.48973,1.48729,0.100096,4.04216,8.70482,2.70853,0.133287,0.00739234,7.57087,3.09915,33.8613,0.17165
"SAT1",0.290376,7.95015,1.87401,0.125374,4.79846,3.95263,2.88224,0.168362,0.00699505,6.84876,3.0745,26.8796,0.5445
"SAT1",0.31419,9.35676,1.42385,0.100641,4.41272,8.30642,3.08456,0.186469,0.00809789,8.16415,3.08232,34.2716,0.342325
"SAT1",0.25351,8.59391,1.42103,0.110297,3.95796,3.7068,3.0501,0.25004,0.00851768,6.91602,3.21797,28.0045,0.217968
"SAT1",0.173922,8.87927,1.56147,0.103532,4.56884,5.20875,3.83184,0.283179,0.00614502,7.057,3.34525,28.9507,0.59525
"SAT1",0.259742,9.59184,1.8596,0.0879827,4.57774,8.71441,3.45856,0.182324,0.00743573,8.16792,3.07627,33.336,0.436275
"SAT1",0.320734,8.87579,1.66148,0.102525,4.6782,8.78929,3.51236,0.15521,0.00843744,7.88688,3.0845,34.1958,0.502
"SAT1",0.360636,8.40682,1.88219,0.119203,4.77986,8.98081,3.60301,0.16169,0.00697779,7.31931,3.06248,29.8586,0.437475
"SAT1",0.213582,8.27693,1.64793,0.0860637,4.30195,5.12668,3.48317,0.22112,0.00750004,7.03132,3.2915,32.4286,0.369
"SAT1",0.341158,7.63823,1.61665,0.112829,4.62649,6.69292,3.33085,0.189655,0.00736259,6.63694,2.97545,27.3462,0.27045
"SAT1",0.326099,9.14929,1.34558,0.102124,3.99809,10.6452,4.08838,0.162509,0.00690541,7.86997,3.53518,33.0348,0.462675
"SAT1",0.272474,7.72368,1.90871,0.09142,4.93677,5.71691,3.2997,0.200023,0.00920602,6.76425,2.89625,31.233,0.51625
"SAT1",0.316782,9.37928,1.55748,0.0944136,3.53165,8.86458,3.48763,0.159893,0.0082529,8.03534,3.36167,34.0298,0.119175
"SAT1",0.277529,8.31294,1.68314,0.0990112,4.70905,7.60136,3.26593,0.238281,0.00704032,6.99862,2.88983,29.2867,0.264825
"SAT1",0.208201,9.12031,1.43872,0.101624,4.14992,5.95131,3.56451,0.20443,0.00784344,7.53307,3.547,29.9569,0.482
"SAT1",0.278975,6.79329,1.79938,0.112724,4.90771,7.91813,3.7968,0.215018,0.0074644,5.90625,3.03875,27.7377,0.52625
"SAT1",0.351816,8.28407,1.38797,0.120168,3.72762,7.98681,3.36507,0.132265,0.00852746,7.27719,3.21324,30.826,0.150743
"SAT1",0.36145,7.98169,1.60374,0.127957,4.47919,6.53176,3.249,0.164615,0.0085525,6.85007,2.98951,28.9307,0.344512
"SAT1",0.28667,8.53337,1.60399,0.109192,3.84903,7.3984,3.8327,0.179623,0.00793158,7.16517,3.42612,29.859,0.358625
"SAT1",0.275393,9.33028,1.66796,0.0945327,3.91685,6.04531,3.47302,0.177955,0.00725125,7.85648,3.40477,32.5025,0.359775
"SAT1",0.366376,9.42915,1.71221,0.0940975,4.14077,11.1219,3.08333,0.143176,0.00724721,8.2016,3.193,35.4611,0.318
"SAT1",0.257268,8.267,2.03093,0.0984195,5.16336,8.88205,3.59105,0.188189,0.00890149,7.20932,2.95735,31.0552,0.49485
